       MAP(20)   P@5  p@10 p@15     p@20    MRR
Q1	0.447427612	0.2	0.4	0.466666667	0.55	0.333333333
Q2	0.766847876	0.8	0.7	0.666666667	0.65	1
Q3	0.516333435	0.4	0.5	0.6	0.6	0.25
Q4	0.569970226	0.4	0.6	0.6	0.65	0.25
Q5	0.852281746	0.8	0.8			1
Q6	0.496428571	0.2	0.4	0.333333333	0.3	1
Q7	0.738591333	0.8	0.6	0.666666667	0.55	1
Q8	1					                    1
Q9	0.814285714	0.6	0.5	0.333333333	0.25	1
Q10	0.726754727	0.6	0.4	0.4		  1
Q11	0.42132544	0.4	0.3	0.4		  0.333333333
Q12	0.764983974	0.8	0.5	0.533333333		1
Q13	0.444444444	0.4				0.333333333
Q14	1	0.4	0.2			1
Q15	0.606935535	0.4	0.4	0.6	0.6	1
Q16	0.728557505	0.6	0.5	0.333333333	0.3	1
Q17	0.25	0.2				0.25
Q18	0.45	0.4				0.5
Q19	0.95	0.8	0.4			1
Q20	0.746867369	0.8	0.7	0.666666667	0.6	1
Q21	0.594047619	0.6				0.333333333
Q22	1	0.8				1
Q23	0.84047619	0.8	0.6			1
Q24	0.655565682	0.6	0.5	0.466666667	0.45	1
Q25	0.606348515	0.6	0.5	0.533333333	0.65	0.5
Q26	0.729124151	0.8	0.7	0.666666667	0.75	1
Q27	0.245687135	0.2	0.3	0.2	0.2	0.25
Q28	0.790081552	0.6	0.7	0.8	0.8	1
Q29	0.717708169	0.6	0.6	0.6	0.55	1
Q30	0.715379241	0.8	0.6	0.533333333	0.6	1
Q31	0.34465812	0.2	0.3	0.333333333	0.3	0.5
Q32	0.375551624	0.2	0.2	0.2	0.35	1
Q33	0.659684615	0.6	0.5	0.4	0.45	1
Q34	1	0.6	0.3	0.2	0.15	1
Q35 0.86589254	1	0.7	0.8	0.7	1
Q36	0.7	0.4				1
Q37	0.722470577	0.6	0.6	0.533333333		1
Q38	0.733725171	0.8	0.7	0.533333333	0.45	1
Q39	0.66282498	0.2	0.6	0.733333333	0.75	1
Q40	1	1	0.7	0.466666667	0.35	1
Q41	0.879960317	0.8	0.7			1
Q42	0.642017692	0.8	0.5	0.6	0.6	0.5
Q43	0.688315129	0.8	0.7	0.666666667	0.65	0.5
Q44	0.788827839	0.8	0.6	0.466666667		1
Q45	0.922206564	1	0.9	0.866666667	0.85	1
Q46	1	0.8				1
Q47	0.814859627	0.8	0.7	0.733333333	0.7	1
Q48	0.749193818	0.8	0.7	0.466666667	0.5	1
Q49	0.691630592	0.6	0.4	0.4		1
Q50	0.803954853	0.6	0.8	0.866666667	0.9	1
AVG 0.704644556	0.608163265	0.547619048	0.531531532	0.540322581	0.836666667
