MAP(20)      p5  p10 p15  p20    MRR
0.471721334	0.4	0.4	0.6	0.5	0.333333333
0.68966811	0.6	0.6	0.533333333	0.5	1
0.534947836	0.4	0.5	0.466666667	0.5	0.25
0.748982729	0.8	0.8	0.733333333	0.65	0.5
0.80152417	0.8	0.7	0.533333333	0.4	1
0.427171717	0.2	0.3	0.266666667	0.25	1
0.595084776	0.4	0.6	0.533333333	0.5	0.5
0.633333333	0.4				1
0.814285714	0.6	0.5	0.333333333	0.25	1
0.707539683	0.6	0.4	0.4		1
0.386594904	0.4	0.2	0.4	0.45	0.333333333
0.516299079	0.2	0.5	0.466666667	0.45	1
0.444444444	0.4				0.333333333
1	0.4	0.2			1
0.507365254	0.4	0.6	0.466666667	0.35	0.25
0.815854978	0.8	0.6	0.466666667	0.4	1
0.95	0.8				1
0.45	0.4				0.5
0.830898268	0.8	0.5	0.4		1
0.713639384	0.8	0.6	0.533333333	0.55	1
0.594047619	0.6				0.333333333
0.902857143	0.8	0.5			1
0.829656863	0.8	0.6	0.466666667	0.4	1
0.649590643	0.6	0.5	0.466666667	0.5	1
0.573789417	0.6	0.4	0.533333333	0.55	0.5
0.746318901	0.6	0.7	0.733333333	0.75	1
0.142251462	0	0.1	0.066666667	0.2	0.1
0.34520202	0.2	0.4	0.333333333	0.3	0.333333333
0.684867216	0.8	0.5	0.533333333	0.4	1
0.766326531	0.8	6	0.466666667	0.35	1
0.258690476	1	0.5	0.533333333	0.45	0.333333333
0.382191181	0.2	0.2	0.2	0.3	1
0.735714286	0.6	0.4	0.333333333	0.25	1
1	0.6	0.3	0.2	0.15	1
0.768483355	0.8	0.7	0.666666667	0.7	1
0.698761424	0.8	0.5	0.466666667	0.55	1
0.812258493	1	0.8	0.6	0.65	1
0.626666906	0.8	0.6	0.466666667	0.45	0.5
0.675565086	0.4	0.6	0.733333333	0.8	1
0.9375	1	0.7	0.466666667	0.4	1
0.844128788	0.8	0.6	0.533333333		1
0.809625476	0.6	0.7	0.666666667	0.5	1
0.78424654	0.8	0.8	0.733333333	0.6	1
0.72585034	0.6	0.6	0.466666667		1
0.894151034	0.8	0.9	0.866666667	0.75	1
1	0.8	0.4	0.266666667	0.2	1
0.783313322	0.8	0.7	0.733333333	0.75	1
0.793430011	0.8	0.8	0.666666667	0.6	1
0.73835034	0.6	0.6	0.4	0.35	1
0.803954853	0.6	0.8	0.733333333	0.9	1
					
0.686942909	0.616	0.664444444	0.499224806	0.475641026	0.822
